Player,PSxG/SoT,PSxG+/-
Álvaro Aceves,0.04,0.1
Julen Agirrezabala,0.37,1.7
Sergio Asenjo,0.37,-1.9
Édgar Badía,0.32,8.0
Yassine Bounou,0.33,-0.5
Claudio Bravo,0.2,-0.2
Juan Carlos,0.35,-1.3
Thibaut Courtois,0.18,-1
Stole Dimitrievski,0.28,4.9
Marko Dmitrović,0.26,1.1
Aitor Fernández,0.28,1.4
Álvaro Fernández,0.31,-1.8
Fernando,0.3,3.5
Paulo Gazzaniga,0.33,3.6
Ivo Grbić,0.19,0.7
Sergio Herrera,0.24,-0.8
Filip Jörgensen,0.25,-0.3
Benjamin Lecomte,0.26,-2.6
Jeremías Ledesma,0.2,-1.7
Diego López,0.26,-2
Andriy Lunin,0.22,0.9
Giorgi Mamardashvili,0.26,1.9
Agustín Marchesín,0.24,-7.3
Diego Mariño,0.28,-0.6
Jordi Masip,0.28,5.7
Jan Oblak,0.28,2.7
Fernando Pacheco,0.16,-2.5
Predrag Rajković,0.25,0.9
Pepe Reina,0.3,1.2
Álex Remiro,0.23,-1.3
Gerónimo Rulli,0.23,2.5
Rui Silva,0.31,2.0
Unai Simón,0.28,-2
David Soria,0.22,-1.3
Marc-André ter Stegen,0.2,6.1
Iván Villar,0.28,2.2